Degree,Features,9-fold Loss
1,"['Percentile10', 'RobustMeanAbsoluteDeviation', 'Skewness', 'CoefficientOfVariation', 'IntensityEnergy']",0.17327697884653265
1,"['ShiftedRootMeanSquaredIntensity', 'RobustMeanAbsoluteDeviation', 'Skewness', 'PearsonsMedianSkewness', 'ExcessKurtosis']",0.17332934719114115
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'Range', 'ExcessKurtosis', 'CoefficientOfVariation']",0.17341913067268516
1,"['ShiftedRootMeanSquaredIntensity', 'Range', 'Skewness', 'PearsonsMedianSkewness', 'ExcessKurtosis']",0.1734195639742463
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'ExcessKurtosis', 'Min', 'CoefficientOfVariation']",0.17342931947871992
1,"['ShiftedRootMeanSquaredIntensity', 'Range', 'ExcessKurtosis', 'Min', 'CoefficientOfVariation']",0.17343424588142906
1,"['Max', 'Skewness', 'ExcessKurtosis', 'CoefficientOfVariation', 'IntensityEnergy']",0.17347019060774882
1,"['Max', 'RobustMeanAbsoluteDeviation', 'Skewness', 'PearsonsMedianSkewness', 'CoefficientOfVariation']",0.17349185452246454
1,"['ShiftedRootMeanSquaredIntensity', 'Skewness', 'ExcessKurtosis', 'CoefficientOfVariation']",0.17356239745713323
1,"['ShiftedRootMeanSquaredIntensity', 'Range', 'Skewness', 'CoefficientOfVariation']",0.17359112599513796
1,"['Percentile10', 'Max', 'ShiftedRootMeanSquaredIntensity', 'Range', 'CoefficientOfVariation']",0.17361739448066466
1,"['Percentile10', 'Max', 'ShiftedRootMeanSquaredIntensity', 'Min', 'CoefficientOfVariation']",0.17363196091028532
1,"['Percentile10', 'ShiftedRootMeanSquaredIntensity', 'Range', 'Min', 'CoefficientOfVariation']",0.17363854586840594
1,"['Max', 'RobustMeanAbsoluteDeviation', 'Skewness', 'ExcessKurtosis', 'CoefficientOfVariation']",0.17364382740997616
1,"['ShiftedRootMeanSquaredIntensity', 'Skewness', 'PearsonsMedianSkewness']",0.17372166961487867
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'Range', 'Min']",0.17380506856601763
1,"['Range', 'Skewness', 'Min', 'IntensityEnergy']",0.17389879413696677
1,"['Max', 'Skewness', 'Min', 'IntensityEnergy']",0.17390009372913834
1,"['Max', 'Range', 'Skewness', 'IntensityEnergy']",0.17390145234594553
1,"['Skewness', 'PearsonsMedianSkewness', 'ExcessKurtosis', 'Min', 'IntensityEnergy']",0.17396963524108328
1,"['ShiftedRootMeanSquaredIntensity', 'RobustMeanAbsoluteDeviation', 'Skewness', 'PearsonsMedianSkewness', 'IntensityEnergy']",0.17399094141200638
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'Skewness', 'PearsonsMedianSkewness', 'ExcessKurtosis']",0.17404679183615376
1,"['RobustMeanAbsoluteDeviation', 'Skewness', 'PearsonsMedianSkewness', 'Min']",0.17413030309847966
1,"['Max', 'RobustMeanAbsoluteDeviation', 'Skewness', 'CoefficientOfVariation']",0.1742355885636881
1,"['ShiftedRootMeanSquaredIntensity', 'Skewness', 'PearsonsMedianSkewness', 'ExcessKurtosis', 'IntensityEnergy']",0.17431152641322345
1,"['Percentile10', 'Max', 'ShiftedRootMeanSquaredIntensity', 'Range', 'PearsonsMedianSkewness']",0.17440543740580697
1,"['Percentile10', 'Max', 'ShiftedRootMeanSquaredIntensity', 'PearsonsMedianSkewness', 'Min']",0.17441892221579777
1,"['Percentile10', 'Range', 'Skewness', 'CoefficientOfVariation']",0.17442081064187304
1,"['Percentile10', 'ShiftedRootMeanSquaredIntensity', 'Range', 'PearsonsMedianSkewness', 'Min']",0.17442501840777258
1,"['Range', 'Skewness', 'CoefficientOfVariation']",0.1745413763756024
1,"['ShiftedRootMeanSquaredIntensity', 'RobustMeanAbsoluteDeviation', 'Skewness', 'Min', 'CoefficientOfVariation']",0.17461319547579324
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'Range', 'Skewness', 'IntensityEnergy']",0.17463850561453337
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'Skewness', 'Min', 'IntensityEnergy']",0.17464360405531015
1,"['ShiftedRootMeanSquaredIntensity', 'Range', 'Skewness', 'Min', 'IntensityEnergy']",0.17464508049817998
1,"['Max', 'Range', 'RobustMeanAbsoluteDeviation', 'Skewness', 'CoefficientOfVariation']",0.17488469521092
